This is a model of Nomoto's that has been converted to Woosley's format









  40 0.4938 0.0120   2.668E+07   6.319E+09   8.239E+09   4.327E-01   0.000E+00  -7.226E+07   8.669E-01   4.987E+27
  41 0.5058 0.0120   2.709E+07   6.079E+09   8.232E+09   4.332E-01   0.000E+00  -7.328E+07   8.743E-01   4.751E+27
  42 0.5178 0.0162   2.751E+07   5.845E+09   8.228E+09   4.337E-01   0.000E+00  -7.428E+07   8.822E-01   4.524E+27
  43 0.5340 0.0205   2.808E+07   5.465E+09   8.207E+09   4.347E-01   0.000E+00  -7.562E+07   8.944E-01   4.159E+27
  44 0.5545 0.0208   2.881E+07   5.098E+09   8.186E+09   4.356E-01   0.000E+00  -7.728E+07   9.073E-01   3.812E+27
  45 0.5753 0.0210   2.957E+07   4.743E+09   8.155E+09   4.367E-01   0.000E+00  -7.896E+07   9.197E-01   3.483E+27
  46 0.5963 0.0165   3.035E+07   4.400E+09   8.123E+09   4.378E-01   0.000E+00  -8.068E+07   9.329E-01   3.173E+27
  47 0.6128 0.0121   3.098E+07   4.213E+09   8.101E+09   4.384E-01   0.000E+00  -8.200E+07   9.402E-01   3.006E+27
  48 0.6249 0.0120   3.145E+07   4.032E+09   8.078E+09   4.391E-01   0.000E+00  -8.297E+07   9.477E-01   2.846E+27
  49 0.6369 0.0120   3.192E+07   3.855E+09   8.055E+09   4.398E-01   0.000E+00  -8.395E+07   9.553E-01   2.692E+27
  50 0.6489 0.0120   3.239E+07   3.684E+09   8.026E+09   4.405E-01   0.000E+00  -8.491E+07   9.624E-01   2.544E+27
  51 0.6609 0.0121   3.288E+07   3.517E+09   8.041E+09   4.409E-01   0.000E+00  -8.589E+07   9.768E-01   2.402E+27
  52 0.6730 0.0120   3.337E+07   3.352E+09   8.421E+09   4.371E-01   0.000E+00  -8.687E+07   1.058E+00   2.266E+27
  53 0.6850 0.0120   3.387E+07   3.196E+09   8.391E+09   4.378E-01   0.000E+00  -8.786E+07   1.066E+00   2.136E+27
  54 0.6970 0.0152   3.439E+07   3.043E+09   8.366E+09   4.385E-01   0.000E+00  -8.888E+07   1.076E+00   2.011E+27
  55 0.7122 0.0182   3.504E+07   2.820E+09   8.317E+09   4.396E-01   0.000E+00  -9.017E+07   1.090E+00   1.831E+27
  56 0.7304 0.0181   3.585E+07   2.609E+09   8.256E+09   4.407E-01   0.000E+00  -9.171E+07   1.103E+00   1.663E+27
  57 0.7485 0.0181   3.669E+07   2.408E+09   8.199E+09   4.419E-01   0.000E+00  -9.367E+07   1.117E+00   1.508E+27
  58 0.7666 0.0179   3.755E+07   2.219E+09   8.138E+09   4.430E-01   0.000E+00  -9.532E+07   1.132E+00   1.363E+27
  59 0.7845 0.0132   3.843E+07   2.042E+09   8.071E+09   4.443E-01   0.000E+00  -9.706E+07   1.146E+00   1.229E+27
  60 0.7977 0.0089   3.912E+07   1.956E+09   8.048E+09   4.448E-01   0.000E+00  -9.849E+07   1.157E+00   1.166E+27
  61 0.8066 0.0088   3.958E+07   1.874E+09   7.997E+09   4.455E-01   0.000E+00  -9.933E+07   1.160E+00   1.106E+27
  62 0.8154 0.0088   4.005E+07   1.793E+09   7.965E+09   4.461E-01   0.000E+00  -1.003E+08   1.169E+00   1.047E+27
  63 0.8242 0.0088   4.053E+07   1.715E+09   7.926E+09   4.467E-01   0.000E+00  -1.013E+08   1.177E+00   9.914E+26
  64 0.8330 0.0087   4.102E+07   1.638E+09   7.886E+09   4.473E-01   0.000E+00  -1.024E+08   1.184E+00   9.377E+26
