 Mon Jul  5 15:08:10 1993     box v98       s15s7b2    weaver      21364    8.25918972171771E+06     dtd(   1) = 6.73E-03   iter =  2
 mass   15.08144              681 zones
     energy    source    kinetic    internal  potential    total     produced   escaped     check              luminosity  3.276E+38
    initial             0.000E+00  3.614E+49 -6.517E+49 -2.903E+49                                           neutrino lum  2.394E+49
    present  0.000E+00  5.563E+48  4.621E+51 -5.222E+51 -5.955E+50  5.371E+52  5.428E+52 -1.081E+47              eff temp  4.502E+03
      rates  0.000E+00  4.356E+49  4.126E+51 -4.178E+51 -8.169E+48 -7.562E+48  3.276E+38 -6.072E+47                radius  3.346E+13
    moles/s -4.250E+25  3.190E+27 -3.070E+29  5.326E+13  3.727E+29  1.603E+26  8.020E+30
    maxzone        161        158        161        158        105        105          1
    
 zone      mass    zmass    radius     density     temp      ye      energy    velocity    entropy   pressure 
   37     .31168   .01005  3.055E+07  3.663E+09  7.770E+09  .43218  1.869E+18 -3.054E+07  8.432E-01  2.447E+27
   38     .32174   .01005  3.102E+07  3.569E+09  7.760E+09  .43251  1.856E+18 -3.100E+07  8.474E-01  2.370E+27
   39     .33179   .01005  3.149E+07  3.478E+09  7.749E+09  .43285  1.843E+18 -3.146E+07  8.518E-01  2.294E+27
   40     .34185   .01005  3.196E+07  3.389E+09  7.738E+09  .43319  1.830E+18 -3.191E+07  8.560E-01  2.221E+27
   41     .35190   .01005  3.242E+07  3.301E+09  7.727E+09  .43353  1.817E+18 -3.237E+07  8.605E-01  2.150E+27
   42     .36195   .01005  3.288E+07  3.216E+09  7.716E+09  .43388  1.804E+18 -3.282E+07  8.649E-01  2.081E+27
   43     .37201   .01005  3.335E+07  3.133E+09  7.705E+09  .43422  1.791E+18 -3.327E+07  8.695E-01  2.014E+27
   44     .38206   .01005  3.381E+07  3.051E+09  7.694E+09  .43457  1.779E+18 -3.372E+07  8.742E-01  1.949E+27
   45     .39212   .01005  3.427E+07  2.972E+09  7.683E+09  .43494  1.766E+18 -3.417E+07  8.788E-01  1.886E+27
   46     .40217   .01005  3.473E+07  2.893E+09  7.672E+09  .43529  1.754E+18 -3.462E+07  8.837E-01  1.824E+27
   47     .41223   .01005  3.520E+07  2.817E+09  7.660E+09  .43566  1.742E+18 -3.506E+07  8.885E-01  1.765E+27
   48     .42228   .01005  3.566E+07  2.742E+09  7.649E+09  .43602  1.729E+18 -3.551E+07  8.936E-01  1.707E+27
   49     .43233   .01005  3.612E+07  2.669E+09  7.636E+09  .43640  1.717E+18 -3.596E+07  8.985E-01  1.651E+27
   50     .44239   .01005  3.659E+07  2.598E+09  7.625E+09  .43677  1.705E+18 -3.641E+07  9.037E-01  1.596E+27
   51     .45244   .01005  3.705E+07  2.528E+09  7.612E+09  .43716  1.693E+18 -3.686E+07  9.088E-01  1.543E+27
   52     .46250   .01005  3.752E+07  2.459E+09  7.601E+09  .43752  1.681E+18 -3.730E+07  9.142E-01  1.491E+27
   53     .47255   .01005  3.798E+07  2.392E+09  7.588E+09  .43791  1.669E+18 -3.775E+07  9.196E-01  1.441E+27
   54     .48261   .01005  3.845E+07  2.326E+09  7.575E+09  .43832  1.657E+18 -3.821E+07  9.249E-01  1.392E+27
   55     .49266   .01005  3.892E+07  2.262E+09  7.562E+09  .43872  1.645E+18 -3.866E+07  9.305E-01  1.345E+27
   56     .50271   .01005  3.939E+07  2.199E+09  7.550E+09  .43910  1.633E+18 -3.911E+07  9.363E-01  1.299E+27
   57     .51277   .01005  3.987E+07  2.137E+09  7.536E+09  .43952  1.622E+18 -3.957E+07  9.420E-01  1.254E+27
   58     .52282   .01005  4.034E+07  2.077E+09  7.522E+09  .43993  1.610E+18 -4.002E+07  9.479E-01  1.210E+27
   59     .53288   .01005  4.082E+07  2.018E+09  7.509E+09  .44035  1.599E+18 -4.048E+07  9.539E-01  1.168E+27
   60     .54293   .01005  4.130E+07  1.960E+09  7.495E+09  .44078  1.587E+18 -4.094E+07  9.600E-01  1.127E+27
   61     .55299   .01005  4.179E+07  1.903E+09  7.481E+09  .44122  1.576E+18 -4.140E+07  9.663E-01  1.087E+27
   62     .56304   .01005  4.228E+07  1.847E+09  7.466E+09  .44166  1.564E+18 -4.187E+07  9.727E-01  1.048E+27
   63     .57309   .01005  4.277E+07  1.793E+09  7.452E+09  .44212  1.553E+18 -4.233E+07  9.792E-01  1.010E+27
   64     .58315   .01005  4.326E+07  1.740E+09  7.436E+09  .44259  1.542E+18 -4.280E+07  9.858E-01  9.738E+26
   65     .59320   .01005  4.376E+07  1.688E+09  7.420E+09  .44307  1.530E+18 -4.328E+07  9.925E-01  9.381E+26
   66     .60326   .01005  4.426E+07  1.637E+09  7.404E+09  .44357  1.519E+18 -4.375E+07  9.992E-01  9.036E+26
   67     .61331   .01005  4.477E+07  1.587E+09  7.386E+09  .44408  1.508E+18 -4.423E+07  1.006E+00  8.700E+26
   68     .62337   .01005  4.528E+07  1.538E+09  7.368E+09  .44460  1.496E+18 -4.471E+07  1.013E+00  8.373E+26
   69     .63342   .01005  4.579E+07  1.490E+09  7.348E+09  .44513  1.485E+18 -4.520E+07  1.020E+00  8.057E+26
   70     .64347   .01005  4.631E+07  1.443E+09  7.328E+09  .44568  1.473E+18 -4.568E+07  1.027E+00  7.749E+26
   71     .65353   .01005  4.684E+07  1.398E+09  7.307E+09  .44623  1.462E+18 -4.618E+07  1.034E+00  7.451E+26
   72     .66358   .01005  4.737E+07  1.353E+09  7.285E+09  .44680  1.450E+18 -4.667E+07  1.041E+00  7.161E+26
   73     .67364   .01005  4.790E+07  1.309E+09  7.261E+09  .44737  1.438E+18 -4.717E+07  1.048E+00  6.880E+26
   74     .68369   .01005  4.845E+07  1.267E+09  7.237E+09  .44794  1.427E+18 -4.768E+07  1.055E+00  6.607E+26
   75     .69375   .01005  4.899E+07  1.225E+09  7.212E+09  .44852  1.415E+18 -4.818E+07  1.062E+00  6.343E+26
   76     .70380   .01005  4.955E+07  1.184E+09  7.186E+09  .44909  1.403E+18 -4.870E+07  1.069E+00  6.086E+26
   77     .71385   .01005  5.011E+07  1.145E+09  7.159E+09  .44967  1.391E+18 -4.921E+07  1.077E+00  5.837E+26
   78     .72391   .01005  5.067E+07  1.106E+09  7.132E+09  .45024  1.378E+18 -4.974E+07  1.084E+00  5.596E+26
   79     .73396   .01005  5.125E+07  1.068E+09  7.104E+09  .45081  1.366E+18 -5.026E+07  1.091E+00  5.362E+26
   80     .74402   .01005  5.183E+07  1.031E+09  7.075E+09  .45137  1.354E+18 -5.079E+07  1.098E+00  5.136E+26
   81     .75407   .01005  5.242E+07  9.952E+08  7.045E+09  .45193  1.342E+18 -5.133E+07  1.105E+00  4.916E+26
   82     .76413   .01005  5.301E+07  9.601E+08  7.015E+09  .45248  1.329E+18 -5.187E+07  1.112E+00  4.704E+26
   83     .77418   .01005  5.362E+07  9.258E+08  6.985E+09  .45302  1.317E+18 -5.242E+07  1.120E+00  4.498E+26
   84     .78423   .01005  5.423E+07  8.924E+08  6.954E+09  .45354  1.304E+18 -5.298E+07  1.127E+00  4.299E+26
   85     .79429   .01005  5.485E+07  8.598E+08  6.923E+09  .45406  1.292E+18 -5.354E+07  1.134E+00  4.106E+26
   86     .80434   .01005  5.549E+07  8.280E+08  6.891E+09  .45457  1.279E+18 -5.410E+07  1.142E+00  3.920E+26
   87     .81440   .01005  5.613E+07  7.970E+08  6.859E+09  .45507  1.266E+18 -5.467E+07  1.149E+00  3.740E+26
   88     .82445   .01005  5.678E+07  7.668E+08  6.826E+09  .45555  1.253E+18 -5.525E+07  1.157E+00  3.565E+26
   89     .83451   .01005  5.744E+07  7.373E+08  6.793E+09  .45602  1.240E+18 -5.584E+07  1.165E+00  3.397E+26
   90     .84456   .01005  5.811E+07  7.086E+08  6.760E+09  .45648  1.227E+18 -5.643E+07  1.172E+00  3.234E+26
   91     .85461   .00493  5.845E+07  6.878E+08  6.735E+09  .45681  1.218E+18 -5.673E+07  1.178E+00  3.117E+26
   92     .85954   .00445  5.875E+07  6.749E+08  6.719E+09  .45701  1.212E+18 -5.699E+07  1.182E+00  3.045E+26
